SPEED_INFO {time_x : 2164398, time_y : 2164399, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2164400, time_y : 2164401, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2164402, time_y : 2164403, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2164404, time_y : 2164405, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2164406, time_y : 2164407, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2164408, time_y : 2164409, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2164410, time_y : 2164411, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2164412, time_y : 2164413, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2164414, time_y : 2164415, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2164416, time_y : 2164416, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2164417, time_y : 2164418, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2164419, time_y : 2164420, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2164421, time_y : 2164422, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2164423, time_y : 2164424, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2164425, time_y : 2164426, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2164427, time_y : 2164428, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2164429, time_y : 2164430, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2164431, time_y : 2164432, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2164433, time_y : 2164434, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2164435, time_y : 2164436, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2164437, time_y : 2164438, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2164439, time_y : 2164440, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2164441, time_y : 2164442, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2164443, time_y : 2164444, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2164445, time_y : 2164446, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2164447, time_y : 2164448, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2164449, time_y : 2164450, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2164451, time_y : 2164452, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2164453, time_y : 2164454, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2164455, time_y : 2164456, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2164457, time_y : 2164458, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2164459, time_y : 2164460, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2164461, time_y : 2164461, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2164462, time_y : 2164463, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2164464, time_y : 2164465, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2164466, time_y : 2164467, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2164468, time_y : 2164469, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2164470, time_y : 2164471, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2164472, time_y : 2164473, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2164474, time_y : 2164475, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2164476, time_y : 2164477, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2164478, time_y : 2164479, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2164480, time_y : 2164481, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2164482, time_y : 2164483, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2164484, time_y : 2164485, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2164486, time_y : 2164487, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2164488, time_y : 2164489, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2164490, time_y : 2164491, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2164492, time_y : 2164493, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2164494, time_y : 2164495, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2164496, time_y : 2164497, speed_x : -0.0, speed_y : -0.0, valid : 1}
HEARTBEAT {mode : 0, time : 2164501}
SPEED_SETPOINT {setpoint_x : 0.0, setpoint_y : 0.0}
